
2025-07-21 19:55:47,715 - ERROR - Podcast: Error procesando episodio #445: {'message': 'column podcasts.web_songs_count does not exist', 'code': '42703', 'hint': None, 'details': None}
2025-07-21 19:55:47,840 - ERROR - Podcast: Error procesando episodio #444: {'message': 'column podcasts.web_songs_count does not exist', 'code': '42703', 'hint': None, 'details': None}
2025-07-21 19:55:47,953 - ERROR - Podcast: Error procesando episodio #443: {'message': 'column podcasts.web_songs_count does not exist', 'code': '42703', 'hint': None, 'details': None}
2025-07-21 19:55:48,073 - ERROR - Podcast: Error procesando episodio #442: {'message': 'column podcasts.web_songs_count does not exist', 'code': '42703', 'hint': None, 'details': None}
2025-07-21 19:55:48,191 - ERROR - Podcast: Error procesando episodio #441: {'message': 'column podcasts.web_songs_count does not exist', 'code': '42703', 'hint': None, 'details': None}
2025-07-21 19:55:48,312 - ERROR - Podcast: Error procesando episodio #440: {'message': 'column podcasts.web_songs_count does not exist', 'code': '42703', 'hint': None, 'details': None}
2025-07-21 19:55:48,433 - ERROR - Podcast: Error procesando episodio #439: {'message': 'column podcasts.web_songs_count does not exist', 'code': '42703', 'hint': None, 'details': None}
2025-07-21 19:55:48,550 - ERROR - Podcast: Error procesando episodio #438: {'message': 'column podcasts.web_songs_count does not exist', 'code': '42703', 'hint': None, 'details': None}
2025-07-21 19:55:48,670 - ERROR - Podcast: Error procesando episodio #437: {'message': 'column podcasts.web_songs_count does not exist', 'code': '42703', 'hint': None, 'details': None}
2025-07-21 19:55:48,788 - ERROR - Podcast: Error procesando episodio #436: {'message': 'column podcasts.web_songs_count does not exist', 'code': '42703', 'hint': None, 'details': None}
2025-07-21 19:55:48,906 - ERROR - Podcast: Error procesando episodio #435: {'message': 'column podcasts.web_songs_count does not exist', 'code': '42703', 'hint': None, 'details': None}
2025-07-21 19:55:49,022 - ERROR - Podcast: Error procesando episodio #434: {'message': 'column podcasts.web_songs_count does not exist', 'code': '42703', 'hint': None, 'details': None}
2025-07-21 19:55:49,140 - ERROR - Podcast: Error procesando episodio #433: {'message': 'column podcasts.web_songs_count does not exist', 'code': '42703', 'hint': None, 'details': None}
